"nr_pix","nr_pix"
35,35
39,39
44,44
39,39
40,40
48,48
58,58
56,56
45,45
54,54
45,45
48,48
46,46
46,46
45,45
48,48
44,44
39,39
47,47
51,51
49,49
43,43
38,38
43,43
31,31
28,28
30,30
40,40
38,38
38,38
33,33
33,33
38,38
59,59
45,45
48,48
54,54
46,46
42,42
42,42
40,40
58,58
47,47
48,48
42,42
56,56
47,47
58,58
32,32
36,36
40,40
32,32
30,30
28,28
28,28
34,34
39,39
34,34
32,32
32,32
39,39
31,31
38,38
31,31
34,34
43,43
37,37
30,30
34,34
34,34
37,37
38,38
37,37
33,33
34,34
44,44
36,36
38,38
41,41
35,35
37,37
41,41
49,49
43,43
47,47
47,47
38,38
47,47
21,21
26,26
27,27
38,38
37,37
34,34
40,40
36,36
45,45
45,45
46,46
41,41
43,43
50,50
52,52
51,51
28,28
31,31
32,32
35,35
31,31
33,33
34,34
33,33
40,40
35,35
44,44
41,41
47,47
38,38
46,46
45,45
47,47
55,55
46,46
48,48
43,43
48,48
48,48
49,49
20,20
20,20
20,20
20,20
23,23
23,23
22,22
21,21
36,36
36,36
42,42
34,34
36,36
39,39
46,46
47,47
38,38
46,46
41,41
41,41
34,34
50,50
58,58
46,46
43,43
31,31
40,40
28,28
31,31
38,38
39,39
36,36
53,53
43,43
46,46
39,39
53,53
48,48
58,58
67,67
